imdb_tconst,title,criterion_year
tt1649264,. . . But Film Is My Mistress,2010
tt0189330,13 Days in France,1968
tt6777170,24 Frames,2017
tt16294920,32 Sounds,2023
tt5105668,95 and 6 to Go,2016
tt0071219,A Bigger Splash,1973
tt0103882,A Brief History of Time,1991
tt0109685,A Confucian Confusion,1994
tt0109586,A Dedicated Life,1994
tt0056562,A Flame at the Pier,1962
tt2972098,A Fuller Life,2013
tt0048250,A Kid for Two Farthings,1955
tt0064640,A Married Couple,1969
tt0131013,A Quiet Life,1995
tt0070809,A River Called Titas,1973
tt0095597,A Taxing Woman's Return,1988
tt7266388,A Turning Point,1984
tt0122371,Adelheid,1970
tt0083539,All by Myself: The Earth Kitt Story,1982
tt1015968,All in This Tea,2007
tt0109085,Alma’s Rainbow,1994
tt8804284,American Dharma,2018
tt4843040,An Accidental Studio,2019
tt0057710,An Actor’s Revenge,1963
tt10995602,And Now Miguel,1953
tt26452090,"And, Towards Happy Alleys",2023
tt10850518,Andrei Tarkovsky: A Cinema Prayer,2019
tt0112364,Angela,1995
tt27502250,Anselm,2023
tt0086907,Antonio Gaudí,1984
tt0977638,Automorphosis,2009
tt24076780,Bad Press,2023
tt0056003,Ballad of a Workman,1962
tt0164707,Bandits vs. Samurai Squadron,1978
tt0211941,Beat,2000
tt0056680,Being Two Isn’t Easy,1962
tt0233315,Benjamin Smoke,2000
tt7266776,Beyond All Barriers,1988
tt29344605,Beyond the Aggressives: 25 Years Later,2023
tt0169606,Beyond the Law,1968
tt0177539,Black Fantasy,1972
tt0229519,Black Lizard,1962
tt1196121,Black Roots,1970
tt0781599,Black Sun,1964
tt0039195,Blanche Fury,1948
tt11392114,"Bloody Nose, Empty Pockets",2020
tt0082093,Bona,1980
tt0090766,Border Radio,1987
tt0085279,Bullshot,1983
tt0083702,Burden of Dreams,1982
tt0082117,Burning an Illusion,1981
tt0212016,Bushman,1971
tt7334072,Caballerango,2018
tt0062773,Calcutta,1969
tt0106504,Calendar,1993
tt5375040,Cameraperson,2016
tt33398096,Carlos: Part 1,2010
tt35022825,Castration Movie Anthology i. Traps,2024
tt2190196,Celluloid Man,2012
tt28801705,Celluloid Underground,2023
tt0138355,Chafed Elbows,1966
tt0087571,Children of Nagasaki,1983
tt0990404,Chop Shop,2007
tt15555264,Clytaemnestra,2021
tt27023385,Coconut Head Generation,2023
tt0099286,Cold Dog Soup,1990
tt22872868,Colette and Justin,2022
tt0223027,Compensation,1999
tt5258306,Contemporary Color,2016
tt4462082,Counting,2015
tt1322903,Creative Nonfiction,2009
tt5305230,CzechMate: In Search of Jiří Menzel,2018
tt29271889,Daughter’s Daughter,2024
tt9853814,De Lo Mio,2019
tt0117394,Deep Crimson,1996
tt0155667,Didn’t Do It for Love,1998
tt0069996,Don’t Play Us Cheap,1972
tt16279390,Dos Estaciones,2022
tt0109655,Double Happiness,1994
tt0083352,Dreadnaught,1981
tt30810787,Dreams,2024
tt0062916,Duet for Cannibals,1969
tt9222354,Dying,1976
tt0379269,Dying at Grace,2003
tt0082313,Eijanaika,1981
tt0196528,"Eldridge Cleaver, Black Panther",1970
tt0067048,Emitaï,1971
tt0080827,Encounters of the Spooky Kind,1980
tt0067055,Equinox,1970
tt0092252,Evil Cat,1987
tt0116261,Eye of God,1997
tt0093006,Family Viewing,1987
tt11380884,Farewell Amor,2020
tt0099000,Farewell China,1990
tt0053259,Farewell to Spring,1959
tt0094858,Father,1988
tt13648216,Faya dayi,2021
tt0104249,Female Misbehavior,1992
tt0293153,Fifi Martingale,2001
tt2291230,First,2012
tt0086923,First Graders,1984
tt8122738,Flickering Ghosts of Loves Gone By,2021
tt29669662,Flickering Lights,2023
tt5507860,Floyd Norman: An Animated Life,2016
tt0259255,Four Letter Words,2000
tt14781332,Freakscene: The Story of Dinosaur Jr.,2021
tt0109843,Fresh Kill,1994
tt0970935,Frownland,2007
tt0415906,Gatchaman: The Movie,1978
tt14064214,Genderation,2021
tt0071544,General Idi Amin Dada: A Self-Portrait,1974
tt0087322,George Stevens: A Filmmaker’s Journey,1984
tt0219058,Gloria Mundi,1976
tt0089282,Gold and Glory,1953
tt0045971,Golden Demon,1954
tt0092219,Golden Eighties,1986
tt0202507,Golden Eyes,1968
tt0234669,Goodbye CP,1972
tt21394182,Goodbye Horses: The Many Lives of Q Lazzarus,2025
tt27404709,Grasshopper Republic,2023
tt0073076,Grey Gardens,1975
tt0104373,Guelwaar,1992
tt31055572,Gunbuster: The Movie,2006
tt0080623,Half a Loaf of Kung Fu,1978
tt0116475,Halving the Bones,1995
tt7266728,Hand in Hand,1988
tt0068650,Hanzo the Razor: Sword of Justice,1972
tt0174707,Hanzo the Razor: The Snare,1973
tt0174708,Hanzo the Razor: Who’s Got the Gold?,1974
tt0309754,Heat Wave,1991
tt26448954,Here,2023
tt0092264,Heroes Shed No Tears,1984
tt0071609,Himiko,1974
tt0095310,"Histoires d’Amérique: Food, Family and Philosophy",1989
tt0068725,Hotel Monterey,1972
tt9031484,House of Cardin,2019
tt0097531,How to Get Ahead in Advertising,1989
tt3690366,How to Smell a Rose: A Visit with Ricky Leacock at His Farm in Normandy,2014
tt0079317,Hunter in the Dark,1979
tt0360839,I Hate But Love,1962
tt0097603,I Went to the Dance,1989
tt0130792,Innocents Abroad,1991
tt38060097,Joan of Arc,2025
tt0203608,Kaisha monogatari: Memories of You,1988
tt4420704,Kedi,2016
tt0054107,Killers on Parade,1961
tt0076097,Koko: A Talking Gorilla,1978
tt0126654,Lady of the Train,1952
tt0077655,Last Hurrah for Chivalry,1979
tt0113145,Le garçu,1995
tt0188388,Les abysses,1963
tt0050633,Letter from Siberia,1957
tt2963262,Limonov: The Ballad,2024
tt8943224,Lingua Franca,2019
tt2327430,Liv and Ingmar,2012
tt0068816,Lone Wolf and Cub: Baby Cart at the River Styx,1972
tt0143348,Lone Wolf and Cub: Baby Cart in Peril,1972
tt0068817,Lone Wolf and Cub: Baby Cart to Hades,1972
tt0071695,Lone Wolf and Cub: White Heaven in Hell,1974
tt8185182,Long Day’s Journey Into Night,2018
tt0066531,Long Live the Bride and Groom,1970
tt0089507,Louie Bluie,1985
tt30810792,Love,2024
tt0055440,Love New and Old,1961
tt0104775,Lumumba: Death of a Prophet,1991
tt0065695,L’enfance nue,1968
tt36456563,Magellan,2025
tt0116962,Mahjong,1996
tt0064625,Maidstone,1970
tt0091461,Maine-Océan Express,1986
tt0063268,Mandabi,1968
tt0185456,Marathon,1993
tt2466988,Max by Marcel,2009
tt0478000,"Memory for Max, Claire, Ida and Company",2005
tt0984130,Miao Miao,2008
tt8014482,Milford Graves Full Mantis,2018
tt24082622,Milisuthando,2023
tt0067431,Millhouse,1971
tt0085946,Mississippi Blues,1983
tt0092557,Monologue,1987
tt28608358,Motel Destino,2024
tt10265444,"Mother, I Am Suffocating. This Is My Last Film About You.",2019
tt0064674,Mr. Freedom,1969
tt0197704,Mr. Hoover and I,1989
tt0093422,Mr. Vampire III,1987
tt0099881,Mr. Vampire IV,1988
tt0081204,Mur Murs,1981
tt0104953,My Crasy Life,1992
tt0102491,My Father Is Coming,1991
tt0093944,My Heart Is That Eternal Rose,1989
tt16951384,My Two Voices,2022
tt0119755,Naked Acts,1996
tt0070007,Near Orouet,1971
tt0076452,News from Home,1976
tt0087789,Next of Kin,1984
tt33253824,Nightshift,1981
tt20205236,No Bears,2022
tt0251300,No More Excuses,1968
tt12786834,No Ordinary Man,2020
tt30320605,Nocturnes,2024
tt0084248,Nomad,1982
tt3763790,Notfilm,2015
tt1336002,Oh My God! It’s Harrod Blank!,2008
tt0030523,Olympia Part Two: Festival of Beauty,1938
tt0255438,"Olympic Games, 1956",1956
tt0102594,One Hand Don’t Clap,1991
tt7266800,"One Light, One World",1992
tt0054143,One-Way Ticket to Love,1960
tt24240390,Onlookers,2023
tt0055269,Our Marriage,1961
tt0029365,Over the Moon,1939
tt0207645,Painters Painting,1973
tt1985144,"People, Hopes, Medals",1960
tt0071999,Place de la République,1974
tt0058481,Point of Order!,1964
tt1337051,"Police, Adjective",2010
tt0196866,Poto and Cabengo,1980
tt12564514,Preparations to Be Together for an Unknown Period of Time,2020
tt0075098,Pressure,1975
tt14906708,Pretty Red Dress,2023
tt0094100,Princess from the Moon,1987
tt28349668,Queens of Drama,2024
tt8423080,Rams,2018
tt0095961,Re-wind,1988
tt0130218,Regeneration,1923
tt0207050,Regrouping,1976
tt0074168,Return of the Prodigal Son,1976
tt27656132,Return to Reason: Four Films by Man Ray,2023
tt0102497,Revenge,1989
tt11398388,"Riotsville, USA",2022
tt0308827,Ronin Gai,1990
tt0274069,Routine Pleasures,1986
tt0114305,Rude,1995
tt0060920,Rush to Judgment,1967
tt0164983,Samaritan Zatoichi,1968
tt0052579,Samurai Saga,1959
tt0059303,Samurai Spy,1965
tt0069222,Sapporo Winter Olympics,1972
tt0086245,"Say Amen, Somebody",1982
tt0061971,Scattered Clouds,1967
tt11233002,Searching for Mr. Rugoff,2019
tt5498350,Sennan Asbestos Disaster,2016
tt7262782,Sensation of the Century,1966
tt15146486,Seoul 1988,1989
tt26270862,Sex,2024
tt5786872,Señoritas,2013
tt26441793,Shadowless Tower,2023
tt0067755,Silence,1971
tt0062042,Sing a Song of Sex,1967
tt0057632,"Sing, Young People!",1963
tt0091971,Sleepwalk,1986
tt1619032,Snows of Grenoble,1968
tt16022080,So Much Tenderness,2022
tt9595506,So Pretty,2019
tt0072195,Space Is the Place,1974
tt0098368,Speaking Parts,1989
tt0053892,Spring Dreams,1960
tt0056667,Stowaway in the Sky,1960
tt0469835,Strange Victory,1948
tt0436811,Symbiopsychotaxiplasm: Take 2 1/2,2005
tt0170651,TGM the Liberator,1990
tt0054325,Take Aim at the Police Van,1960
tt9658178,Talking About Trees,2019
tt0163324,"Tally Brown, New York",1979
tt0374262,Tamala 2010: A Punk Cat in Space,2002
tt0103070,Thank You and Good Night,1991
tt0462757,The Aggressives,2005
tt24121692,The Callers,2024
tt0273874,The Castaways of Turtle Island,1976
tt0202604,The Castle of Sand,1974
tt0319836,The Clay Bird,2002
tt0116070,The Delta,1996
tt0202434,The Demon,1978
tt0054780,The Devil’s Trap,1962
tt0030063,The Divorce of Lady X,1938
tt0051828,The Eternal Rainbow,1958
tt8371772,The Eyes of Orson Welles,2018
tt7241484,"The Games of the V Olympiad Stockholm, 1912",2016
tt0345128,The Gleaners and I: Two Years Later,2002
tt0043159,The Good Fairy,1951
tt12958702,The Hand,2004
tt0056135,The Inheritance,1962
tt0106651,The Last Dance,1993
tt10888456,The Lost Okoroshi,2019
tt0059402,The Love Goddesses,1965
tt0090955,The Making of Fanny and Alexander,1982
tt0191053,The Model Couple,1977
tt0071587,The Mouth Agape,1974
tt0257954,The Natural History of the Chicken,2000
tt0255441,"The Olympic Games, Amsterdam, 1928",1928
tt0196355,The Other,1999
tt5222918,The Other Side of Hope,2017
tt22098228,The Passion of Remembrance,1986
tt1935157,The Perfect Game,1958
tt0070528,The Petrified Forest,1973
tt0203797,The Phantom Horse,1955
tt0069086,The Pied Piper,1972
tt0053842,The River Fuefuki,1960
tt0203605,The Shadow Within,1970
tt27623454,The Shepherd and the Bear,2024
tt0052966,The Snow Flurry,1959
tt0054366,The Sun’s Burial,1960
tt26696417,The Taste of Mango,2024
tt0295723,The Terror and the Time,1978
tt0104374,The Undeclared War,1992
tt0175743,The White Dove,1960
tt1864554,The World of Gilbert & George,1981
tt0114794,The World of Jacques Demy,1995
tt0106696,The Young Girls Turn 25,1993
tt3723828,This Ain’t No Mouse Music,2013
tt0063169,Three Resurrected Drunkards,1968
tt0052981,Thus Another Day,1959
tt3505094,Tiny: The Life of Erin Blackwell,2016
tt0155278,Tokaido Yotsuya kaidan,1959
tt0046449,Torna!,1954
tt0217853,Town Bloody Hall,1979
tt0204716,Tracked,1985
tt30886849,Turn in the Wound,2024
tt2219894,Turning,2012
tt0278782,Turumba,1981
tt0234932,Twice as Nice,1989
tt0031544,Two Girls on the Street,1939
tt0427550,Two Tons of Turquoise to Taos Tonight,1975
tt26315142,Tótem,2023
tt0111541,Umbrellas,1994
tt0073841,Under the Blossoming Cherry Trees,1975
tt0075367,Underground,1976
tt30319916,Union,2024
tt0318025,Unknown Pleasures,2002
tt0090251,Variety,1983
tt35649428,Videoheaven,2025
tt0095417,Virgin Machine,1989
tt0059884,"War and Peace, Part I: Andrei Bolkonsky",1966
tt0061162,"War and Peace, Part II: Natasha Rostova",1966
tt0062455,"War and Peace, Part III: The Year 1812",1967
tt0062456,"War and Peace, Part IV: Pierre Bezukhov",1967
tt0062474,Warrendale,1967
tt0069489,Wedding in White,1972
tt0111681,Welcome II the Terrordome,1995
tt0080125,West Indies: The Fugitive Slaves of Liberty,1979
tt0094314,West Is West,1987
tt4214450,Western,2015
tt0108554,When Pigs Fly,1993
tt0105808,Where Are We? Our Trip Through America,1992
tt1675311,Where Are You Taking Me?,2012
tt0121444,Where the World Meets,1952
tt0076916,White Rock,1977
tt9617512,Why Can’t I Be Me? Around You,2019
tt0105821,Wild Wheels,1992
tt0232951,Will,1981
tt5323760,Winter Brothers,2017
tt0133089,Woman in Witness Protection,1997
tt1196255,Woodcutters of the Deep South,1973
tt0144020,Xiao Wu,1997
tt0092258,Yam daabo,1987
tt1189367,Yeast,2008
tt0057697,Youth of the Beast,1963
tt0066603,Zatoichi Meets Yojimbo,1970
tt0057715,Zatoichi the Fugitive,1963
tt0072439,Zatoichi’s Conspiracy,1973
tt0131149,Zorns Lemma,1970
